CONTACT,PHONE_NEW,ADDRESS_NEW,CITY,STATE,ZIP
jim jefferson,(383) 890-0311,po box 90,west hamlin,wv,25571
,(596) 406-1192,70 Boots Road,Monterey,CA,93940
Bill Brooks,(957) 862-2539,18 Civic Center Drive,Beverly Hills,CA,90210
barton cummings,(706) 846-1665,13 20th ave. south,birmingham,al,35209
Beth Boecker,(308) 540-7041,P.O. Box 57-266,Georgetown,TX,78627
Shelby Yeaple,(279) 243-9173,42 LBJ Freeway,Dallas,TX,75240
Al Leung,(238) 780-2006,"31 Oakport St, B/2",Oakland,ca,94601
Beck Fear,(364) 335-7447,PO Box 74,North Platte,NE,69103
,(703) 320-7750,79 payson Avenue,Easthampton,MA,1027
Sharon Krist,(893) 507-4537,,St. Louis,MO,
Brian Grave,(627) 301-9746,16 E First St,Park Rapids,MN,56470-0112
,(846) 619-8468,29 Atrium Drive,Roseville,CA,95747
Susan Davis,(958) 306-6004,1 Walnut Hill Lane,Dallas,TX,75231-4372
,(856) 248-0018,P.O. Box 72,Phoenix,AZ,85067
Mary Carolyn  Porter,(307) 268-1269,62 N.E. Stallings Drive,Nacogdoches,Tx,75961
Ron Bode,(416) 494-8971,28 3rd Ave. SE,Cedar Rapids,IA,52401
Nicole Pecoulas,(985) 201-7219,82 N. LaSalle St. Suite 2830,Chicago,IL,60601
James Sawyer,(743) 259-0849,12 West Oak Street,Denton,TX,76201-0404
David Scott,(544) 619-5016,48 S. Third St.,Jacksonville Beach,FL,32250-5847
Ravan Boddu,(234) 630-4098,,Seattle,WA,
Robert Karr,(491) 123-3555,99 W. Allegan 4th Floor/Pob 30036,Lansing,MI,
Lucile Gillory,(994) 852-9556,83 Root Road,Spring,TX,77389
Sue Foster,(524) 259-0445,"95 25th Avenue, Suite 204",Greely,CO,80634
Darryl Thomas,(889) 651-6421,56 Olson Memorial Hwy,Minneapolis,MN,55405
Joy Rohn,(568) 145-7359,54 Country Club Lane,Escondido,Ca,92026
Michael Augeri,(427) 498-2590,60 Newfield St,Middletown,CT,06457-1832
Bill Johnson,(897) 939-7945,5 Prospect Ave.,Hollywood,CA,90027
john jones,(604) 543-1979,73 e moore,terrell,texas,75160
,(654) 992-3286,"two mid america plaza, suite 73",oakbrook terrace,il,60181
Holly Anderson,(602) 751-0781,79 East Main St,Murfreesboro,TN,37130
James Struble,(290) 348-4070,"100 LBJ Freeway, Suite 900",Dallas,TX,75240
J Serkowski,(250) 519-9395,29 Union Street,Seattle,WA,98101
,(759) 442-5955,PO Box P,Austin,TX,78713
Tracey Thomas,(829) 490-5168,"86 Quorum Drive, Suite 480",Dallas,TX,75240
,(467) 280-7301,17,Gainesville,FL,32611
,(612) 487-8214,49 S Industrial,Ann Arbor,MI,48194
Mandy Smith,(918) 375-5756,64 Auditorium,Jackson,TN,38301
Bruce Grouse,(408) 936-4125,31 Vista Way,Oceanside,CA,92054
Jason Baskind,(320) 918-7381,40 Franklin Ave,Garden City,NY,11530
Jerry Reis,(344) 747-1527,"19 W. Randol Mill Road, Suite 120",Arlington,TX,76011
David Maisel,(531) 227-4273,85 Southern Pine Blvd.,Charlotte,NC,28273
Brett M. Bayduss,(495) 108-7805,25 Ross Ave,Dallas,TX,75201
John Wickre,(932) 868-5010,80,St. Paul,MN,55102
David Griffin,(304) 369-7351,99 Warwick Road,Deerfield,IL,60015
Cindy Camillucci,(456) 180-6095,Wellpoint Health Networks,Camarillo,CA,93012
Latisha Brunner,(367) 711-6422,3 Wilshire Blvd,Los Angeles,CA,90036
Robert Blakeley,(753) 262-1029,70 6th Ave.,New York,NY,10022
Susan Buckley,(832) 969-1663,14 Columbia Pike,Silver Spring,MD,20904
Paul DeBartolo,(246) 551-8234,14 E. Beltline N.E.,Grand Rapids,MI,49506
Brandy Tice,(784) 142-4009,91 NW 57th St,Oklahoma City,OK,73118
Kathy McKinney,(388) 798-8765,38 N. Van Buren St. 4th Floor,Milwaukee,WI,53202
marquita berry,(690) 247-1992,40 s wentworth ave,chicago,il,60621
Robert Witherspoon,(999) 783-8098,43 Millard Road,Stone Mountain,GA,30088
,(890) 215-1153,3 Brookriver Ste N610,Dallas,TX,75247
Fred Giordano,(201) 986-7743,72 State Rt 17,Wood Ridge,NJ,07075-2435
,(215) 187-0862,None,None,CA,90210-1234
Rob Dugan,(719) 492-5460,40 Hudson Street,Jersey City,NJ,07302
Jason Morgan,(375) 410-9549,14 SW Sixth Avenue,Portland,OR,97219
Ruben Fajardo,(941) 860-0877,P.O. Box 29,Miami Beach,FL,33140
Stephanie Walkenshaw,(489) 390-9068,4 W. Madison St,Chicago,,60606
Julie Anne Hennessy,(810) 112-6449,93 W. Olympic Blvd.,Los Angeles,CA,90064
Bob Dolan,(961) 581-3258,One Entrepreneur Way,Cypress,TX,77429
